FUN_400d6e44	3f42428e	E (%s) %s: Error in calculating sha1 sum , Returned 0x%02X 
FUN_400d6e44	3f425a84	        
FUN_400d70a4	3f4049b6	esp_timer
FUN_400d70a4	3f4049c0	ETSTimer
FUN_400d70a4	3f404a13	timer_initialized(ptimer)
FUN_400d70a4	3f404ad2	ets_timer_arm_us
FUN_400d710c	3f404ae3	ets_timer_setfn
FUN_400d710c	3f404af3	system_time
FUN_400d710c	40125868	{R@?6a
FUN_400d7170	3f425a84	        
FUN_400d71e8	3f404b38	apb_ticks_per_us >= 3 && "divider value too low"
FUN_400d71e8	3f404b9c	apb_ticks_per_us % TICKS_PER_US == 0 && "APB frequency (in MHz) should be divisible by TICK_PER_US"
FUN_400d71e8	3f404c00	esp_timer_impl
FUN_400d71e8	3f404c0f	E (%u) %s: esp_intr_alloc failed (0x%0x) 
FUN_400d71e8	3f404c39	esp_intr_enable(s_timer_interrupt_handle)
FUN_400d71e8	3f405fb0	/IDF/components/newlib/locks.c
FUN_400d71e8	3f405ff9	xQueueGetMutexHolder( ( h ) ) == ((void *)0)
FUN_400d71e8	3f406026	handle == (SemaphoreHandle_t) &s_common_mutex
FUN_400d71e8	3f406054	handle == (SemaphoreHandle_t) &s_common_recursive_mutex
FUN_400d71e8	3f425a84	        
FUN_400d74f8	3f425a84	        
FUN_400d751c	3f425a84	        
FUN_400d75d8	3ffc0bdc	Fatal error in queue_signal: s_meta_queue full 
FUN_400d7634	3f4060df	_lock_close
FUN_400d7634	3f4060eb	esp_intr_alloc(ETS_INTERNAL_SW1_INTR_SOURCE, ESP_INTR_FLAG_IRAM, queue_isr_handler, NULL, &ret_handle)
FUN_400d7634	3ffc0bdc	Fatal error in queue_signal: s_meta_queue full 
FUN_400d76b8	3f40617f	hli_queue_setup
FUN_400d76b8	3f40618f	display
FUN_400d76b8	3f406197	I (%s) %s: free heap size:%d 
FUN_400d76b8	3f4061b5	nvs_flash_erase()
FUN_400d76b8	3f4061c7	../main/src/app/rw_display.c
FUN_400d76b8	3f40a768	select_src_ret && set_div_ret
FUN_400d76b8	40125868	{R@?6a
FUN_400d7724	3f4061e4	app_main
FUN_400d7724	3f4061f1	I (%s) %s: main board init success 
FUN_400d7724	3f406215	I (%s) %s: init state is not successful, could not start process 
FUN_400d7724	3f406257	E (%s) %s: main board init failed 
FUN_400d7724	3f4169cd	smartconfig
FUN_400d7724	40125868	{R@?6a
FUN_400d7d48	3f4061e4	app_main
FUN_400d7d48	3f4064f8	I (%s) %s: init no error 
FUN_400d7d48	3f4065a3	initial
FUN_400d7d48	3f4169cd	smartconfig
FUN_400d7d48	40125868	{R@?6a
FUN_400d7dcc	3f4064f8	I (%s) %s: init no error 
FUN_400d7dcc	3f4065a3	initial
FUN_400d7dcc	40125868	{R@?6a
FUN_400d7de8	3f4061e4	app_main
FUN_400d7f7c	3f4065a3	initial
FUN_400d7f7c	3f4065e2	E (%s) %s: mboard port not inited 
FUN_400d7f7c	40085750	{R@?6A
FUN_400d7f7c	40125868	{R@?6a
FUN_400d8540	40085750	{R@?6A
FUN_400d8540	40125868	{R@?6a
FUN_400d8550	3f4066b9	I (%s) %s: restart recive MB heartbeat 
FUN_400d8550	3f425a84	        
FUN_400d8550	40125868	{R@?6a
FUN_400d88b0	3f425a84	        
FUN_400d8be0	3f425a84	        
FUN_400d90e4	3f4065ab	data manager service
FUN_400d90e4	3f406732	powerdown screen
FUN_400d90e4	40125868	{R@?6a
FUN_400d917c	3f402fe6	I (%u) %s: Starting app cpu, entry point is %p 
FUN_400d917c	3f4061e4	app_main
FUN_400d917c	3f406732	powerdown screen
FUN_400d917c	3f406753	W (%s) %s: json get bt failed 
FUN_400d917c	3f425a84	        
FUN_400d917c	40125868	{R@?6a
FUN_400d9374	3f425a84	        
FUN_400d9780	3f406732	powerdown screen
FUN_400d9780	3f4067ca	E (%s) %s: create monitor task failed 
FUN_400d9780	40085750	{R@?6A
FUN_400d9780	40125868	{R@?6a
FUN_400d9ae0	3f4061e4	app_main
FUN_400d9ae0	3f406753	W (%s) %s: json get bt failed 
FUN_400d9ae0	3f41eb19	/IDF/components/esp_http_client/lib/http_utils.c
FUN_400d9ae0	3f425a84	        
FUN_400d9b60	3f4061e4	app_main
FUN_400d9b60	3f4064f8	I (%s) %s: init no error 
FUN_400d9b60	3f4067f1	E (%s) %s: create port service failed 
FUN_400d9b60	40125868	{R@?6a
FUN_400d9bc0	3f4067f1	E (%s) %s: create port service failed 
FUN_400d9bc0	3f406818	MachineState
FUN_400d9bc0	3f406825	E (%s) %s: reserve time error statr %d end %d 
FUN_400d9bc0	3f406854	E (%s) %s: reserve weekday error : %d 
FUN_400d9bc0	3f425a84	        
FUN_400d9bc0	40125868	{R@?6a
FUN_400d9c68	3f425a84	        
FUN_400d9cb4	3f425a84	        
FUN_400d9d44	3f425a84	        
FUN_400d9d74	3f425a84	        
FUN_400d9dac	3f425a84	        
FUN_400d9ddc	3f4061e4	app_main
FUN_400d9ddc	3f40629a	I (%s) %s: Current App version is %s 
FUN_400d9ddc	3f4062c0	Robot_env
FUN_400d9ddc	3f4062d3	I (%s) %s: load iot mode %d 
FUN_400d9ddc	3f4062fa	I (%s) %s: load iot value %d 
FUN_400d9ddc	3f406318	mqtt://mergemqtt-wired.sk-robot.com
FUN_400d9ddc	3f40633c	mqtt://test1.sk-robot.com
FUN_400d9ddc	3f406356	mqtt://test2.sk-robot.com
FUN_400d9ddc	3f406370	mqtt://test3.sk-robot.com
FUN_400d9ddc	3f4063a5	I (%s) %s: load robot version 
FUN_400d9ddc	3f4063f5	I (%s) %s: load robot fw_ver %d 
FUN_400d9ddc	3f406421	I (%s) %s: load device name %s 
FUN_400d9ddc	3f406732	powerdown screen
FUN_400d9ddc	3f4067f1	E (%s) %s: create port service failed 
FUN_400d9ddc	3f40687b	I (%s) %s: add new reserve failed! 
FUN_400d9ddc	3f40689f	I (%s) %s: RF match start 
FUN_400d9ddc	3f4068ba	I (%s) %s: RF is matched 
FUN_400d9ddc	3f4068d4	bat_per
FUN_400d9ddc	3f4068e3	bat_ctime
FUN_400d9ddc	3f4068ed	bat_dtime
FUN_400d9ddc	3f4068f7	bat_health
FUN_400d9ddc	3f406902	rain_delay
FUN_400d9ddc	3f40690d	rain_state
FUN_400d9ddc	3f406918	total_minutes
FUN_400d9ddc	3f406926	on_minutes
FUN_400d9ddc	3f406931	cut_area
FUN_400d9ddc	3f40693a	cur_minutes
FUN_400d9ddc	3f406946	current_area
FUN_400d9ddc	3f406953	station
FUN_400d9ddc	3f406962	white_en
FUN_400d9ddc	3f40696b	night_en
FUN_400d9ddc	3f406974	night_start
FUN_400d9ddc	3f406980	night_end
FUN_400d9ddc	3f406991	ult_sen
FUN_400d9ddc	3f406999	I (%s) %s: Set name: %s 
FUN_400d9ddc	3f4069b8	I (%s) %s: Set model: %s 
FUN_400d9ddc	3f4069d8	I (%s) %s: Set avail: %d 
FUN_400d9ddc	3f4069f2	I (%s) %s: Set sn: %s 
FUN_400d9ddc	3f406a10	rain_en
FUN_400d9ddc	3f406a1f	zone_en
FUN_400d9ddc	3f406a2e	I (%s) %s: set iot mode %d 
FUN_400d9ddc	3f406a4a	I (%s) %s: set iot value %d 
FUN_400d9ddc	3f406a67	sp_en
FUN_400d9ddc	3f406a74	info_state
FUN_400d9ddc	3f406a7f	map_en
FUN_400d9ddc	3f406a8d	bat_name
FUN_400d9ddc	3f406a9c	boot_en
FUN_400d9ddc	3f406ae3	zone_ex
FUN_400d9ddc	3f406af2	add_func
FUN_400d9ddc	3f406afb	I (%s) %s: env set version ok 
FUN_400d9ddc	3f406b1a	I (%s) %s: env set version failed 
FUN_400d9ddc	3f406b48	E (%s) %s: MB set reserve1 failed 
FUN_400d9ddc	3f406b6b	E (%s) %s: MB set reserve2 failed 
FUN_400d9ddc	3f406b8e	mul_en
FUN_400d9ddc	3f406b95	mul_auto
FUN_400d9ddc	3f406b9e	meter_en
FUN_400d9ddc	3f406bdf	meter_z1
FUN_400d9ddc	3f406be8	meter_z2
FUN_400d9ddc	3f406bf1	meter_z3
FUN_400d9ddc	3f406bfa	meter_z4
FUN_400d9ddc	3f406c04	nk_mqtt
FUN_400d9ddc	3f406c0c	robot_ssid
FUN_400d9ddc	3f406c17	robot_password
FUN_400d9ddc	3f406c4b	E (%s) %s: Check password failed 
FUN_400d9ddc	3f406f74	power
FUN_400d9ddc	3f4073fe	tue2_len
FUN_400d9ddc	3f4177d2	check pbuf_skip result
FUN_400d9ddc	3f418024	tcp_receive: wrong state
FUN_400d9ddc	3f41c873	invalid HTTP version
FUN_400d9ddc	3f422141	id-at-givenName
FUN_400d9ddc	3f423268	opmode
FUN_400d9ddc	3f42335d	ap.ssid
FUN_400d9ddc	3f4243b4	Interrupted system call
FUN_400d9ddc	3f425a84	        
FUN_400d9ddc	40125868	{R@?6a
FUN_400daa88	3f406c74	MachineStatus
FUN_400daac0	3f406c82	send bt status
FUN_400daac0	40085750	{R@?6A
FUN_400daaf8	3f425a84	        
FUN_400dabf0	3f4067f1	E (%s) %s: create port service failed 
FUN_400dabf0	3f406c91	send wifi status
FUN_400dabf0	3f406ca2	I (%s) %s: MachineStatus thread start 
FUN_400dabf0	3f406cdf	2x-%02x
FUN_400dabf0	3f406ce7	E (%s) %s: initialze robot reserve failed 
FUN_400dabf0	3f406d12	E (%s) %s: initialze robot rain failed 
FUN_400dabf0	3f406d3a	E (%s) %s: initialze robot multi failed 
FUN_400dabf0	3f406d63	E (%s) %s: initialze robot version failed 
FUN_400dabf0	3f406d8e	E (%s) %s: initialze robot led failed 
FUN_400dabf0	3f406db5	E (%s) %s: initialze robot ultra failed 
FUN_400dabf0	3f406dde	E (%s) %s: initialze robot map version failed 
FUN_400dabf0	3f406e0d	W (%s) %s: free heap size:%d 
FUN_400dabf0	3f425a84	        
FUN_400dabf0	40125868	{R@?6a
FUN_400db0e0	40085750	{R@?6A
FUN_400db2a8	3f425a84	        
FUN_400db2b8	3f425a84	        
FUN_400db2c8	3f425a84	        
FUN_400db2d8	3f425a84	        
FUN_400db2ec	3f425a84	        
FUN_400db300	3f425a84	        
FUN_400db314	3f425a84	        
FUN_400db328	3f425a84	        
FUN_400db37c	3f425a84	        
FUN_400db388	3f425a84	        
FUN_400db394	3f406eff	buzzer timer
FUN_400db468	3f4061e4	app_main
FUN_400db468	3f406f2c	log thread
FUN_400db468	3f425a84	        
FUN_400db4e4	3f425a84	        
FUN_400db55c	3f425a84	        
FUN_400db588	3f404079	reserved[i + 1].start > reserved[i].start
FUN_400db588	3f4061e4	app_main
FUN_400db588	3f406732	powerdown screen
FUN_400db588	3f4068ba	I (%s) %s: RF is matched 
FUN_400db588	3f406946	current_area
FUN_400db588	3f406953	station
FUN_400db588	3f406999	I (%s) %s: Set name: %s 
FUN_400db588	3f4069b8	I (%s) %s: Set model: %s 
FUN_400db588	3f4069f2	I (%s) %s: Set sn: %s 
FUN_400db588	3f406a74	info_state
FUN_400db588	3f406a9c	boot_en
FUN_400db588	3f406ae3	zone_ex
FUN_400db588	3f406b1a	I (%s) %s: env set version failed 
FUN_400db588	3f406b6b	E (%s) %s: MB set reserve2 failed 
FUN_400db588	3f406b8e	mul_en
FUN_400db588	3f406c4b	E (%s) %s: Check password failed 
FUN_400db588	3f406c91	send wifi status
FUN_400db588	3f406f2c	log thread
FUN_400db588	3f406f3b	iot drive
FUN_400db588	3f406f45	E (%s) %s: creat json object failed 
FUN_400db588	3f406f6a	errortype
FUN_400db588	3f406f74	power
FUN_400db588	3f406f7a	on_area
FUN_400db588	3f406f89	total_min
FUN_400db588	3f406f93	cur_min
FUN_400db588	3f406f9b	cur_area
FUN_400db588	3f406fa5	wifi_lv
FUN_400db588	3f406fad	rain_status
FUN_400db588	3f406fb9	rain_delay_set
FUN_400db588	3f406fc8	rain_delay_left
FUN_400db588	3f406fd8	led_mode
FUN_400db588	3f406fe1	led_night
FUN_400db588	3f406feb	led_start
FUN_400db588	3f406ff5	led_end
FUN_400db588	3f406ffd	ultra_en
FUN_400db588	3f407007	ltra_lv
FUN_400db588	3f40700f	bat_type
FUN_400db588	3f407018	bat_ctimes
FUN_400db588	3f407023	bat_dtimes
FUN_400db588	3f40702e	bat_change
FUN_400db588	3f40703f	Trimming
FUN_400db588	3f407048	passwd_res
FUN_400db588	3f407053	language
FUN_400db588	3f40705c	mul_mode
FUN_400db588	3f407066	ul_zon1
FUN_400db588	3f40706f	ul_zon2
FUN_400db588	3f407078	ul_zon3
FUN_400db588	3f407081	ul_zon4
FUN_400db588	3f407089	mul_meter1
FUN_400db588	3f407094	mul_meter2
FUN_400db588	3f40709f	mul_meter3
FUN_400db588	3f4070aa	mul_meter4
FUN_400db588	3f4070b5	mul_pro1
FUN_400db588	3f4070be	mul_pro2
FUN_400db588	3f4070c7	mul_pro3
FUN_400db588	3f4070e9	schedule
FUN_400db588	3f4070f7	multizone
FUN_400db588	3f407112	info_stat
FUN_400db588	3f40711c	sche_ex
FUN_400db588	3f4074de	market_active
FUN_400db588	3f407f1d	wl_state
FUN_400db588	3f408372	I (%s) %s: RF mode:915 
FUN_400db588	3f408394	I (%s) %s: KeyNum = %d 
FUN_400db588	3f409ecf	/%s/%s/update
FUN_400db588	3f418e23	dhcp_create_msg: check that first pbuf can hold struct dhcp_msg
FUN_400db588	3f41c7ac	stream ended at an unexpected time
FUN_400db588	3f41c873	invalid HTTP version
FUN_400db588	3f422141	id-at-givenName
FUN_400db588	3f42335d	ap.ssid
FUN_400db588	3f425a84	        
FUN_400db588	40125868	{R@?6a
FUN_400dd8c0	3f425a84	        
FUN_400dd97c	3f4074de	market_active
FUN_400dd97c	3f407521	t@?port drive
FUN_400dd97c	40125868	{R@?6a
FUN_400dda0c	3f40752f	I (%s) %s: add receive message head callback, head = 0x%08x, callback @0x%08x 
FUN_400dda0c	3f40757e	../main/src/driver/driver_mboard_port.c
FUN_400dda44	3f40752f	I (%s) %s: add receive message head callback, head = 0x%08x, callback @0x%08x 
FUN_400dda44	3f40757e	../main/src/driver/driver_mboard_port.c
