addr,name,size,decomp_ok
08000130,FUN_08000130,8,1
08000138,FUN_08000138,44,1
08000188,FUN_08000188,8,1
08000190,FUN_08000190,4,1
08000194,FUN_08000194,32,1
080001b4,FUN_080001b4,8,1
080001c6,FUN_080001c6,2,1
080001c8,FUN_080001c8,2,1
080001ca,FUN_080001ca,2,1
080001ce,FUN_080001ce,2,1
080001d0,FUN_080001d0,10,1
080001fa,FUN_080001fa,74,1
08000244,FUN_08000244,18,1
08000258,FUN_08000258,4,1
08000260,FUN_08000260,8,1
08000270,FUN_08000270,50,1
080002a4,FUN_080002a4,2,1
080002a8,FUN_080002a8,2,1
080002ac,FUN_080002ac,2,1
080002b0,FUN_080002b0,2,1
080002b4,thunk_FUN_0800078c,4,1
080002b8,FUN_080002b8,484,1
0800049c,FUN_0800049c,152,1
080004d4,FUN_080004d4,200,1
0800059c,FUN_0800059c,2,1
080005a0,FUN_080005a0,62,1
080005e0,FUN_080005e0,180,1
08000694,FUN_08000694,92,1
080006f0,FUN_080006f0,100,1
08000754,FUN_08000754,18,1
08000768,FUN_08000768,36,1
0800078c,FUN_0800078c,38,1
080007b4,FUN_080007b4,36,1
080007d8,FUN_080007d8,36,1
080007fc,FUN_080007fc,36,1
08000820,FUN_08000820,60,1
0800085c,FUN_0800085c,116,1
080008d0,FUN_080008d0,30,1
080008f0,FUN_080008f0,32,1
08000910,FUN_08000910,44,1
0800093c,FUN_0800093c,1450,1
08000ee8,FUN_08000ee8,80,1
08000f38,FUN_08000f38,1426,1
080014cc,FUN_080014cc,12,1
080014d8,FUN_080014d8,660,1
0800176c,FUN_0800176c,94,1
08001964,FUN_08001964,12,1
08001970,FUN_08001970,26,1
0800198c,FUN_0800198c,162,1
08001a34,FUN_08001a34,18,1
08001a48,FUN_08001a48,30,1
08001a68,FUN_08001a68,168,1
08001b10,FUN_08001b10,20,1
08001b24,FUN_08001b24,192,1
08001bf8,FUN_08001bf8,30,1
08001c38,FUN_08001c38,30,1
08001c58,FUN_08001c58,24,1
08001d2c,FUN_08001d2c,106,1
08001d98,FUN_08001d98,8,1
08001da0,FUN_08001da0,8,1
08001da8,FUN_08001da8,154,1
08001e24,FUN_08001e24,12,1
08001e30,FUN_08001e30,10,1
08001e3c,FUN_08001e3c,16,1
08001e4c,FUN_08001e4c,22,1
08001e64,FUN_08001e64,34,1
08001e88,FUN_08001e88,16,1
08001e98,FUN_08001e98,12,1
08001ea4,FUN_08001ea4,16,1
08001eb4,FUN_08001eb4,12,1
08001ec0,FUN_08001ec0,16,1
08001ed0,FUN_08001ed0,26,1
08010138,FUN_08010138,14,1
08010164,FUN_08010164,32,1
08010184,FUN_08010184,14,1
080101f4,FUN_080101f4,6,1
08010268,FUN_08010268,214,1
0801033e,FUN_0801033e,292,1
08010470,FUN_08010470,604,1
080106c4,FUN_080106c4,488,1
080108a4,FUN_080108a4,98,1
08010906,FUN_08010906,12,1
08010912,FUN_08010912,40,1
0801093a,FUN_0801093a,14,1
08010948,FUN_08010948,4,1
0801094c,FUN_0801094c,18,1
0801095e,FUN_0801095e,36,1
08010982,FUN_08010982,14,1
08010990,FUN_08010990,28,1
080109ac,FUN_080109ac,18,1
080109be,FUN_080109be,30,1
080109dc,FUN_080109dc,48,1
08010a14,FUN_08010a14,296,1
08010b3c,FUN_08010b3c,556,1
08010d74,FUN_08010d74,252,1
08010e52,FUN_08010e52,34,1
08010e74,FUN_08010e74,26,1
08010e8e,FUN_08010e8e,62,1
08010ecc,FUN_08010ecc,48,1
08010efc,FUN_08010efc,48,1
08010f2c,FUN_08010f2c,44,1
08010f58,FUN_08010f58,30,1
08010f76,FUN_08010f76,32,1
08010f98,FUN_08010f98,12,1
08010fa4,FUN_08010fa4,828,1
08011000,FUN_08011000,54,1
08011036,FUN_08011036,90,1
080110ba,FUN_080110ba,156,1
08011156,FUN_08011156,322,1
080112a4,FUN_080112a4,228,1
08011388,FUN_08011388,24,1
080113a0,FUN_080113a0,48,1
080113d0,FUN_080113d0,74,1
08011408,FUN_08011408,36,1
0801142c,FUN_0801142c,36,1
08011450,FUN_08011450,44,1
0801179a,FUN_0801179a,92,1
08011920,FUN_08011920,34,1
0801196c,FUN_0801196c,50,1
080119a4,FUN_080119a4,86,1
08011a00,FUN_08011a00,26,1
08011a1a,FUN_08011a1a,48,1
08011a4c,FUN_08011a4c,96,1
08011ac0,FUN_08011ac0,14,1
08011af0,FUN_08011af0,80,1
08011b40,FUN_08011b40,36,1
08011bac,FUN_08011bac,168,1
08011c6c,FUN_08011c6c,76,1
08011cd4,FUN_08011cd4,22,1
08011cea,FUN_08011cea,90,1
08011d44,FUN_08011d44,66,1
08011d88,FUN_08011d88,44,1
08011db8,FUN_08011db8,34,1
08011de0,FUN_08011de0,40,1
08011e0c,FUN_08011e0c,30,1
08011e30,FUN_08011e30,88,1
08011e90,FUN_08011e90,30,1
08011eb8,FUN_08011eb8,64,1
08011f08,thunk_FUN_08011f10,2,1
08011f10,FUN_08011f10,12,1
08011f28,FUN_08011f28,366,1
080120ac,FUN_080120ac,14,1
080120bc,FUN_080120bc,1696,1
08012798,FUN_08012798,36,1
080127bc,FUN_080127bc,46,1
08012800,FUN_08012800,10,1
0801280a,FUN_0801280a,30,1
08012828,FUN_08012828,54,1
0801285e,FUN_0801285e,20,1
08012874,FUN_08012874,76,1
080128ba,FUN_080128ba,16,1
080128ca,FUN_080128ca,54,1
08012900,FUN_08012900,32,1
08012920,FUN_08012920,14,1
0801292e,FUN_0801292e,80,1
0801297e,FUN_0801297e,38,1
080129a4,FUN_080129a4,8,1
080129ac,FUN_080129ac,62,1
080129ec,FUN_080129ec,18,1
08012a04,FUN_08012a04,126,1
08012a82,FUN_08012a82,6,1
08012a88,FUN_08012a88,26,1
08012aa2,FUN_08012aa2,82,1
08012b16,FUN_08012b16,120,1
08012b6c,FUN_08012b6c,276,1
08012ce8,FUN_08012ce8,14,1
08012cf8,FUN_08012cf8,38,1
08012d24,FUN_08012d24,34,1
08012d4c,FUN_08012d4c,44,1
08012d78,FUN_08012d78,42,1
08012da8,FUN_08012da8,98,1
08012e20,FUN_08012e20,18,1
08012e38,FUN_08012e38,66,1
08012e80,FUN_08012e80,128,1
08012e88,FUN_08012e88,54,1
08012ed0,FUN_08012ed0,22,1
08012ee6,FUN_08012ee6,226,1
08012fd4,FUN_08012fd4,160,1
08012fe0,FUN_08012fe0,40,1
08013008,FUN_08013008,44,1
08013036,FUN_08013036,202,1
08013100,FUN_08013100,494,1
080132f8,FUN_080132f8,24,1
08013314,FUN_08013314,100,1
0801337c,FUN_0801337c,438,1
08013540,FUN_08013540,260,1
0801364c,FUN_0801364c,52,1
08013680,FUN_08013680,160,1
080138a4,FUN_080138a4,24,1
080138c0,FUN_080138c0,6,1
080138dc,FUN_080138dc,86,1
08013950,FUN_08013950,30,1
08013970,FUN_08013970,266,1
08013ae4,FUN_08013ae4,74,1
08013b30,FUN_08013b30,138,1
08013bbc,FUN_08013bbc,274,1
08013d30,FUN_08013d30,76,1
08013d7c,FUN_08013d7c,26,1
08013d96,FUN_08013d96,32,1
08013db6,FUN_08013db6,32,1
08013dd6,FUN_08013dd6,32,1
08013df6,FUN_08013df6,32,1
08013e16,FUN_08013e16,54,1
08013e4c,FUN_08013e4c,120,1
08013ec4,FUN_08013ec4,32,1
08013ee4,FUN_08013ee4,12,1
08013ef0,FUN_08013ef0,74,1
08013f3a,FUN_08013f3a,32,1
08013f5c,FUN_08013f5c,18,1
08013f74,FUN_08013f74,30,1
08013fc8,FUN_08013fc8,8,1
08013fd0,FUN_08013fd0,170,1
08014084,FUN_08014084,6,1
08014090,FUN_08014090,140,1
0801418c,FUN_0801418c,86,1
080141e8,FUN_080141e8,658,1
08014518,FUN_08014518,28,1
08014538,FUN_08014538,40,1
08014564,FUN_08014564,28,1
08014584,FUN_08014584,4,1
0801458c,FUN_0801458c,4,1
08014594,FUN_08014594,4,1
0801459c,FUN_0801459c,30,1
080145c4,FUN_080145c4,10,1
080145d0,FUN_080145d0,14,1
080145e4,FUN_080145e4,14,1
080145f8,FUN_080145f8,64,1
080146b0,FUN_080146b0,70,1
080147f8,FUN_080147f8,146,1
0801499c,FUN_0801499c,2,1
0801499e,FUN_0801499e,100,1
08014a02,FUN_08014a02,138,1
08014ac8,FUN_08014ac8,158,1
08014b6c,FUN_08014b6c,788,1
08014e88,FUN_08014e88,364,1
08015008,FUN_08015008,118,1
08015080,FUN_08015080,474,1
08015260,FUN_08015260,1832,1
080159a0,FUN_080159a0,704,1
08015c68,FUN_08015c68,352,1
08015dcc,FUN_08015dcc,364,1
08015f38,FUN_08015f38,110,1
08015fa8,FUN_08015fa8,224,1
0801608c,FUN_0801608c,1066,1
080164bc,FUN_080164bc,530,1
08016784,FUN_08016784,226,1
080168b8,FUN_080168b8,322,1
08016a00,FUN_08016a00,28,1
08016a20,FUN_08016a20,72,1
08016a70,FUN_08016a70,10,1
08016a80,FUN_08016a80,10,1
08016a90,FUN_08016a90,6,1
08016aa8,FUN_08016aa8,6,1
08016ab4,FUN_08016ab4,6,1
08016ac0,FUN_08016ac0,6,1
08016ad8,FUN_08016ad8,6,1
08016ae4,FUN_08016ae4,76,1
08016ba8,FUN_08016ba8,124,1
08016c44,FUN_08016c44,60,1
08016c98,FUN_08016c98,6,1
08016d20,FUN_08016d20,130,1
08016e54,FUN_08016e54,6,1
08016ee8,FUN_08016ee8,4,1
08016ef0,FUN_08016ef0,166,1
08016f96,FUN_08016f96,10,1
08016fa0,FUN_08016fa0,308,1
0801715c,FUN_0801715c,196,1
080175e8,FUN_080175e8,274,1
080177fc,FUN_080177fc,76,1
08017884,FUN_08017884,70,1
080178d0,FUN_080178d0,262,1
080179f8,FUN_080179f8,182,1
08017aae,thunk_FUN_08016a70,4,1
08017ab2,FUN_08017ab2,4,1
08017b44,FUN_08017b44,122,1
08017bc4,FUN_08017bc4,144,1
08017c58,FUN_08017c58,10,1
08017d4c,FUN_08017d4c,64,1
08017f92,FUN_08017f92,268,1
080180a0,FUN_080180a0,920,1
0801819c,FUN_0801819c,12,1
08018648,FUN_08018648,258,1
08018758,FUN_08018758,796,1
08018828,FUN_08018828,318,1
0801885c,FUN_0801885c,102,1
